year;Mundo;América Latina y el Caribe;Guatemala;Honduras;México;Nicaragua;El Salvador;Panamá;Costa Rica
1991;22990.18781;29978.53912;17141.30403;10894.27057;44039.34375;11029.54099;15458.18047;31336.64643;26735.58011
1992;22973.18314;29902.09799;17456.55099;10970.28349;43954.09763;10815.32936;16200.28633;32429.20833;28339.28921
1993;23042.53325;30272.95723;17654.80738;11273.24145;43219.91463;10536.44942;16927.28525;32755.78585;29074.66752
1994;23313.72342;31170.86714;17855.50896;10934.22675;44842.26161;10623.00431;16744.8677;32599.36846;29272.51079
1995;23686.66142;30939.5314;18186.56095;11194.10989;42345.16222;10967.93478;17436.70108;31746.35195;29412.05157
1996;24173.52228;31753.88252;18224.28184;11145.67363;43319.30618;11211.38068;17733.14689;32166.36892;30137.98981
1997;24651.40862;32301.25985;18465.62169;11121.83747;43596.70202;11201.35008;18164.15458;33361.20606;29555.57853
1998;24905.72525;32499.49878;18796.21218;11200.52492;44750.60229;11169.20548;17700.86675;34861.58733;29773.53025
1999;25347.29751;32251.94585;18949.46191;10739.07755;45049.48333;11523.25685;17867.53827;35311.79773;30401.24734
2000;26055.65105;32726.53979;19060.43257;11322.15174;46448.46055;11519.80199;18078.6406;35207.66762;31035.56966
2001;26334.49491;31987.99276;18919.54602;11454.01863;45704.17684;11508.26302;18189.08845;34423.52983;30382.24665
2002;26726.90409;31565.45447;19093.51159;11549.08508;45292.39502;11278.83374;18198.22551;34225.40028;30868.98342
2003;27319.64791;31584.1355;19056.42986;11886.9544;44966.0888;11254.50717;17949.91596;34676.01124;31395.95546
2004;28180.5082;32233.89962;19147.5885;12361.68935;45607.71946;11396.28724;18259.84706;36148.28811;32473.61674
2005;28981.24187;32581.44966;19301.79429;12604.10161;44885.51661;11451.68254;18637.94527;37696.26586;31829.69554
2006;30008.39414;33265.18497;19830.49098;13140.14382;45406.44816;11607.00641;18892.93842;40547.32687;33221.3767
2007;31068.89087;34299.93662;20533.96877;13676.68635;45425.82502;11777.39531;18802.76224;44010.68375;34220.7388
2008;31532.8261;34792.41131;20663.31446;13643.02235;45289.23009;11990.77905;18964.59876;46193.1305;35348.18119
2009;31203.96528;33698.86118;20302.40076;12694.0917;42705.44297;11508.87296;18650.69147;46634.39462;35714.27299
2010;32445.48084;35303.37939;20398.9751;12638.41145;44104.76566;11648.36815;18808.21673;49248.93267;37234.05632
2011;33328.29892;36297.8795;20615.59205;13216.24417;44724.55206;11871.98555;19190.20832;53967.63799;39826.59249
2012;34006.90038;36292.58125;19077.93644;13444.67759;44847.00017;12151.34477;19135.85279;56372.09273;38476.64551
2013;34775.44081;36855.88695;20821.17685;12858.1779;44796.06645;12437.36611;19129.10625;58158.14053;38533.12205
2014;35560.94573;36920.43767;20922.72172;12768.85481;45668.24903;12616.00578;19683.32375;60498.28151;39571.54783
2015;36351.08137;36783.57703;21276.75353;12759.89554;46023.31748;12979.54301;20126.47893;62610.44933;41069.16362
2016;37158.182;36754.96943;21136.06824;13050.50789;46301.1817;13189.17615;20244.3474;64106.35716;43844.58446
2017;38106.47881;36943.33885;21109.3208;12990.0253;46436.46859;13449.64375;20587.356;67184.57671;44073.77351
2018;38949.89144;36877.74449;21181.75583;12809.46517;46443.72226;12979.60954;20901.4832;66481.54689;43941.78011
2019;39650.97449;36725.62361;21472.99592;12787.79745;45763.62835;12460.35563;21173.56247;67140.86145;45469.39314
